params,total_pnl,win_rate,avg_trade,max_win,max_loss,max_drawdown,std_dev,sharpe_ratio,trade_count,profit_factor
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.4, 'long_put_delta_max': -0.2, 'spread_width_min': 3.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 2.0}",11037.956958556308,0.988,44.15182783422522,865.6143212771248,-338.51147876664396,356.9458081878942,128.91787061537585,0.3424802754146584,250,18.461043575547826
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.4, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 2.5}",14340.369809923408,0.988,57.361479239693594,1113.0651927697857,-349.472640552567,377.974374123423,170.16734641479528,0.33708863920267534,250,26.27460822431396
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 3.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 2.0}",12655.42195666536,0.988,50.62168782666142,980.5390819001833,-475.671728440316,475.67172844031666,150.22068112541876,0.3369821481797006,250,16.206290589961768
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.15, 'spread_width_min': 3.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 2.5}",12033.290524598086,0.988,48.1331620983923,994.4071442864301,-375.41865455386335,586.2957836369307,142.89235963948346,0.3368490954998012,250,13.354532253603443
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.2, 'spread_width_min': 3.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 2.0}",9952.749974940785,0.984,39.81099989976313,782.1808307863346,-375.3454826018498,669.7726832640938,118.2031731019501,0.33680144834543646,250,10.523085809817811
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.4, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 2.5}",16777.1160242191,0.992,67.1084640968764,1577.9778318840395,-375.50956854515096,375.5095685451506,199.3284690792525,0.33667275129772983,250,32.49607033130178
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.15, 'spread_width_min': 2.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 2.0}",11164.712241195655,0.984,44.65884896478262,1154.5626141075836,-318.54602673646184,387.80317712789486,132.86757741369934,0.3361154755289311,250,20.79470461145086
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 1.5}",12230.547543108289,0.988,48.92219017243319,977.381736464416,-276.1696830381654,276.1696830381661,145.5889856409782,0.3360294733632879,250,37.750762089418686
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 3.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.5, 'delta_stop_loss_multiplier': 2.0}",16669.722311896603,0.984,66.67888924758638,1345.1413570528855,-275.9258819229891,275.925881922989,198.70208893659733,0.33557216033527737,250,31.41812883592945
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.15, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.5, 'delta_stop_loss_multiplier': 2.5}",10746.688439456246,0.988,42.98675375782497,1014.9019593112538,-375.8126756700721,408.077012460138,128.25019671023045,0.33517885243443013,250,14.709439736463448
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.4, 'long_put_delta_max': -0.2, 'spread_width_min': 3.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.5, 'delta_stop_loss_multiplier': 2.0}",13107.03705028818,0.992,52.428148201152716,1540.3203564453509,-275.70468248938715,275.7046824893878,156.42417536896832,0.3351665308606351,250,34.619162706690865
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.4, 'long_put_delta_max': -0.2, 'spread_width_min': 3.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 1.5}",12437.80930021666,0.988,49.75123720086668,927.3748889502849,-375.1648636587921,489.4462449489655,148.8548471571718,0.334226517651358,250,15.217490666706182
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.4, 'long_put_delta_max': -0.2, 'spread_width_min': 3.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.5, 'delta_stop_loss_multiplier': 1.5}",17819.93041076692,0.984,71.27972164306766,1531.4146905882862,-376.1812469221522,633.0808248984752,213.30528880568286,0.33416762445117876,250,18.656395606565503
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 2.0}",10146.177496068905,0.988,40.58470998427561,964.8030379081838,-282.7260434986782,477.2118345525094,121.62430517691473,0.3336891415350007,250,16.53114552584846
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.4, 'long_put_delta_max': -0.2, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 2.5}",14675.398967978705,0.984,58.7015958719148,1105.6309837702222,-453.0816344804016,697.7083834927506,176.40658522592548,0.3327630643534942,250,14.672230339299668
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 3.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 2.5}",17269.325061147832,0.984,69.07730024459134,1576.792017524693,-375.33206391636486,734.5248093279888,208.2579513476827,0.3316910581208402,250,16.559956853414658
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 2.5}",13088.734496426401,0.984,52.354937985705604,1295.2971058966018,-314.3531174610273,436.4264776800244,158.08393299090295,0.3311844347187288,250,20.91487001612002
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.15, 'spread_width_min': 3.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 2.5}",18108.327386262437,0.984,72.43330954504977,1584.3072812476155,-375.71071117153554,450.0015011292995,219.49731841628477,0.32999633010403034,250,22.58075263204749
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 2.5}",8661.06697757305,0.988,34.6442679102922,1040.4750333549794,-258.0428851665447,507.1986392332838,105.1485291836473,0.3294793391715847,250,13.67835752597109
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.4, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 1.5}",10878.582887693341,0.988,43.51433155077338,846.5381886216474,-275.0837451647606,275.08374516476033,132.14498436550227,0.32929234325244067,250,21.909326021083235
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.4, 'long_put_delta_max': -0.2, 'spread_width_min': 2.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 2.5}",17149.334764479387,0.992,68.59733905791755,1292.6991105472594,-375.30096369030514,375.30096369030434,208.32751032183782,0.32927643090412756,250,28.71202776888992
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.4, 'long_put_delta_max': -0.2, 'spread_width_min': 2.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 1.5}",18425.678726699145,0.984,73.70271490679659,1550.4452105315297,-281.01657277771073,560.0665971602918,224.07778080973168,0.3289157659472665,250,23.06239669322774
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.2, 'spread_width_min': 3.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 2.5}",15994.877555147415,0.992,63.979510220589646,1653.6380083943955,-375.4253447262417,375.42534472624175,194.68208553234984,0.32863583747647046,250,23.159277816436333
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 3.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 1.5}",12621.454158108094,0.984,50.48581663243238,994.4148501829734,-276.0144845936793,365.87627740152004,153.66916320274203,0.3285357685316759,250,20.662931616084688
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.4, 'long_put_delta_max': -0.2, 'spread_width_min': 3.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.6, 'delta_stop_loss_multiplier': 2.0}",9119.993497980708,0.984,36.479973991922805,790.2360846461336,-375.7033242348996,711.3741080494265,111.10859104139136,0.3283272125945049,250,9.389460793806052
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.2, 'spread_width_min': 2.0, 'spread_width_max': 5.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 1.5}",15829.25313904879,0.988,63.31701255619515,1047.3822290615694,-375.1986735593784,375.1986735593782,192.94066505767805,0.32816831297470156,250,25.25718707808715
"{'short_put_delta_min': -0.6, 'short_put_delta_max': -0.25, 'long_put_delta_min': -0.45, 'long_put_delta_max': -0.25, 'spread_width_min': 2.0, 'spread_width_max': 4.0, 'target_profit_pct': 0.4, 'delta_stop_loss_multiplier': 1.5}",13528.697789490376,0.988,54.114791157961506,1097.4315216929463,-276.2308687679591,498.0435358406801,165.10337044679017,0.32776309176196816,250,18.2502740426384
